"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"ABN AMRO Group";"NL0011540547";"ABN";"Euronext Amsterdam";"EUR";"27.16";"27.32";"27.10";"27.23";"05/01/2018 17:35";"CET";"1172354";"31896339.20"
"ABO GROUP";"BE0974278104";"ABO";"Euronext Brussels";"EUR";"4.10";"4.10";"4.10";"4.10";"05/01/2018 16:30";"CET";"505";"2070.50"
"ACANTHE DEV.";"FR0000064602";"ACAN";"Euronext Paris";"EUR";"0.848";"0.848";"0.83";"0.846";"05/01/2018 14:49";"CET";"38781";"32573.426"
"ACCELL GROUP";"NL0009767532";"ACCEL";"Euronext Amsterdam";"EUR";"23.35";"23.80";"23.35";"23.65";"05/01/2018 17:35";"CET";"21022";"496115.40"
"ACCENTIS";"BE0003696102";"ACCB";"Euronext Brussels";"EUR";"0.04";"0.0405";"0.04";"0.04";"05/01/2018 15:14";"CET";"370320";"14891.16"
"ACCOR";"FR0000120404";"AC";"Euronext Paris";"EUR";"43.60";"44.07";"43.60";"43.77";"05/01/2018 17:35";"CET";"1117729";"48994776.58"
"ACCOR NV18";"FR0013306149";"ACNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ACCSYS";"GB00BQQFX454";"AXS";"Euronext Amsterdam";"EUR";"0.902";"0.908";"0.90";"0.908";"05/01/2018 17:24";"CET";"116625";"105305.788"
"ACEP FRANCE";"FR0010762740";"MLACP";"Euronext Access Paris";"EUR";"1.66";"1.66";"1.66";"1.66";"29/12/2017 16:30";"CET";"1";"1.66"
"ACHETER-LOUER.FR";"FR0010493510";"ALALO";"Euronext Growth Paris";"EUR";"0.052";"0.0524";"0.0504";"0.051";"05/01/2018 17:35";"CET";"1165873";"59653.8742"
"ACKERMANS V.HAAREN";"BE0003764785";"ACKB";"Euronext Brussels";"EUR";"148.80";"150.80";"148.40";"150.00";"05/01/2018 17:39";"CET";"39743";"5958967.60"
"ACTEOS";"FR0000076861";"EOS";"Euronext Paris";"EUR";"4.06";"4.26";"3.97";"4.22";"05/01/2018 17:28";"CET";"38689";"159614.64"
"ACTIA GROUP";"FR0000076655";"ATI";"Euronext Paris";"EUR";"7.66";"8.09";"7.66";"7.92";"05/01/2018 17:29";"CET";"81032";"643234.80"
"ACTIPLAY (GROUPE)";"FR0011038348";"ALACT";"Euronext Growth Paris";"EUR";"1.70";"1.70";"1.685";"1.685";"05/01/2018 17:18";"CET";"750";"1272.57"
"ACTIVIUM GROUP";"FR0010979377";"MLACT";"Euronext Access Paris";"EUR";"0.995";"0.995";"0.995";"0.995";"03/01/2018 11:30";"CET";"100";"99.51"
"ADA";"FR0000053076";"ALADA";"Euronext Growth Paris";"EUR";"9.55";"9.60";"9.50";"9.60";"05/01/2018 13:52";"CET";"402";"3819.15"
"ADC SIIC";"BE0974269012";"ALDV";"Euronext Paris";"EUR";"0.108";"0.108";"0.108";"0.108";"05/01/2018 11:30";"CET";"1619";"174.852"
"ADEUNIS";"FR0013284627";"ALARF";"Euronext Growth Paris";"EUR";"9.35";"9.48";"9.22";"9.42";"05/01/2018 14:54";"CET";"1531";"14215.66"
"ADL PARTNER";"FR0000062978";"ALP";"Euronext Paris";"EUR";"16.30";"16.50";"16.30";"16.45";"05/01/2018 16:23";"CET";"1194";"19650.30"
"ADOCIA";"FR0011184241";"ADOC";"Euronext Paris";"EUR";"16.20";"16.46";"15.82";"15.96";"05/01/2018 17:35";"CET";"58166";"935358.52"
"ADOMOS";"FR0013247244";"ALADO";"Euronext Growth Paris";"EUR";"0.94";"0.94";"0.92";"0.93";"05/01/2018 17:24";"CET";"32951";"30505.17"
"ADOMOS BS";"FR0013247228";"ALABS";"Euronext Growth Paris";"EUR";"0.0272";"0.0272";"0.0234";"0.025";"05/01/2018 17:35";"CET";"43840";"1125.2748"
"ADP";"FR0010340141";"ADP";"Euronext Paris";"EUR";"163.20";"164.20";"162.50";"162.60";"05/01/2018 17:35";"CET";"67338";"10957985.20"
"ADTHINK MEDIA";"FR0010457531";"ALADM";"Euronext Growth Paris";"EUR";"2.45";"2.46";"2.41";"2.46";"05/01/2018 16:52";"CET";"15725";"38339.37"
"ADUX";"FR0012821890";"ADUX";"Euronext Paris";"EUR";"4.34";"4.39";"4.32";"4.34";"05/01/2018 17:25";"CET";"4972";"21609.71"
"ADVENIS";"FR0004152874";"ADV";"Euronext Paris";"EUR";"1.90";"1.97";"1.90";"1.97";"05/01/2018 17:26";"CET";"25646";"49833.25"
"ADVICENNE";"FR0013296746";"ADVIC";"Euronext Paris";"EUR";"14.05";"14.05";"14.00";"14.00";"05/01/2018 17:06";"CET";"3867";"54212.52"
"ADVINI";"FR0000053043";"ADVI";"Euronext Paris";"EUR";"34.40";"34.40";"34.40";"34.40";"05/01/2018 09:05";"CET";"122";"4196.80"
"AEDIFICA";"BE0003851681";"AED";"Euronext Brussels";"EUR";"79.30";"79.30";"78.20";"79.30";"05/01/2018 17:37";"CET";"11762";"928598.80"
"AEGON";"NL0000303709";"AGN";"Euronext Amsterdam";"EUR";"5.37";"5.41";"5.318";"5.35";"05/01/2018 17:36";"CET";"9804306";"52600500.064"
"AFFINE R.E.";"FR0000036105";"IML";"Euronext Paris";"EUR";"16.72";"16.84";"16.66";"16.80";"05/01/2018 17:35";"CET";"3596";"60235.12"
"AFONE PARTICIP.";"FR0000044612";"AFO";"Euronext Paris";"EUR";"8.05";"8.05";"8.05";"8.05";"05/01/2018 15:48";"CET";"9";"72.45"
"AFRIQUE TELECOM";"FR0011233659";"MLAFT";"Euronext Access Paris";"EUR";"7.11";"7.11";"7.11";"7.11";"18/02/2014 15:00";"CET";"15";"106.65"
"AG3I";"FR0011908045";"MLAGI";"Euronext Access Paris";"EUR";"4.01";"4.01";"4.01";"4.01";"26/09/2017 16:30";"CET";"10";"40.10"
"AGEAS";"BE0974264930";"AGS";"Euronext Brussels";"EUR";"41.45";"41.77";"41.43";"41.50";"05/01/2018 17:35";"CET";"532769";"22141260.96"
"AGFA-GEVAERT";"BE0003755692";"AGFB";"Euronext Brussels";"EUR";"4.066";"4.07";"4.018";"4.046";"05/01/2018 17:35";"CET";"140678";"569251.878"
"AGROGENERATION";"FR0010641449";"ALAGR";"Euronext Growth Paris";"EUR";"0.371";"0.375";"0.365";"0.365";"05/01/2018 17:27";"CET";"44229";"16333.193"
"AGTA RECORD";"CH0008853209";"AGTA";"Euronext Paris";"EUR";"61.50";"61.50";"61.50";"61.50";"05/01/2018 09:00";"CET";"1";"61.50"
"AGUAS DA CURIA";"PTCUR0AP0000";"CUR";"Euronext Access Lisbon";"EUR";"1.17";"1.17";"1.17";"1.17";"06/09/2017 20:30";"BST";"32";"37.44"
"AHOLD DEL";"NL0011794037";"AD";"Euronext Amsterdam, Brussels";"EUR";"18.484";"18.622";"18.45";"18.474";"05/01/2018 17:36";"CET";"5014291";"92871447.32"
"AIR FRANCE -KLM";"FR0000031122";"AF";"Euronext Paris, Amsterdam";"EUR";"14.045";"14.29";"14.01";"14.06";"05/01/2018 17:35";"CET";"2623675";"37095752.095"
"AIR LIQUIDE";"FR0000120073";"AI";"Euronext Paris";"EUR";"107.60";"108.60";"107.60";"108.60";"05/01/2018 17:46";"CET";"796823";"86283297.20"
"AIR MARINE";"FR0013285103";"MLAIM";"Euronext Access Paris";"EUR";"4.60";"4.60";"4.60";"4.60";"03/01/2018 13:48";"CET";"446";"2051.60"
"AIRBUS";"NL0000235190";"AIR";"Euronext Paris";"EUR";"86.23";"86.23";"84.42";"85.60";"05/01/2018 17:35";"CET";"1689901";"144345773.97"
"AJAX";"NL0000018034";"AJAX";"Euronext Amsterdam";"EUR";"9.80";"10.05";"9.80";"10.05";"05/01/2018 17:27";"CET";"1388";"13754.49"
"AKKA TECHNOLOGIES";"FR0004180537";"AKA";"Euronext Paris";"EUR";"49.50";"50.50";"49.25";"49.60";"05/01/2018 17:38";"CET";"17271";"860570.35"
"AKZO NOBEL";"NL0000009132";"AKZA";"Euronext Amsterdam";"EUR";"73.78";"75.36";"73.78";"75.10";"05/01/2018 17:35";"CET";"1096094";"82013612.56"
"ALBIOMA";"FR0000060402";"ABIO";"Euronext Paris";"EUR";"21.35";"21.45";"21.20";"21.45";"05/01/2018 17:35";"CET";"22169";"473529.00"
"ALD";"FR0013258662";"ALD";"Euronext Paris";"EUR";"13.25";"13.30";"13.11";"13.18";"05/01/2018 17:35";"CET";"204362";"2695856.69"
"ALES GROUPE";"FR0000054652";"ALPHY";"Euronext Growth Paris";"EUR";"10.85";"11.30";"10.80";"11.10";"05/01/2018 17:35";"CET";"2024";"22501.85"
"ALPES (COMPAGNIE)";"FR0000053324";"CDA";"Euronext Paris";"EUR";"34.20";"34.90";"34.10";"34.50";"05/01/2018 17:35";"CET";"16853";"582142.60"
"ALPHA MOS";"FR0000062804";"ALM";"Euronext Paris";"EUR";"0.37";"0.39";"0.37";"0.38";"05/01/2018 17:16";"CET";"8950";"3398.33"
"ALSTOM";"FR0010220475";"ALO";"Euronext Paris";"EUR";"35.49";"35.95";"35.47";"35.90";"05/01/2018 17:35";"CET";"580095";"20788887.54"
"ALTAMIR";"FR0000053837";"LTA";"Euronext Paris";"EUR";"15.14";"15.42";"15.14";"15.42";"05/01/2018 17:38";"CET";"9536";"145465.28"
"ALTAREA";"FR0000033219";"ALTA";"Euronext Paris";"EUR";"211.50";"212.00";"208.00";"211.00";"05/01/2018 17:35";"CET";"8718";"1834268.50"
"ALTAREIT";"FR0000039216";"AREIT";"Euronext Paris";"EUR";"276.00";"276.00";"276.00";"276.00";"05/01/2018 11:30";"CET";"1";"276.00"
"ALTEN";"FR0000071946";"ATE";"Euronext Paris";"EUR";"72.75";"73.35";"72.40";"72.80";"05/01/2018 17:35";"CET";"30019";"2184042.85"
"ALTICE";"NL0011333752";"ATC";"Euronext Amsterdam";"EUR";"9.65";"9.722";"9.48";"9.616";"05/01/2018 17:35";"CET";"4693870";"45162216.328"
"ALTICE B";"NL0011333760";"ATCB";"Euronext Amsterdam";"EUR";"9.65";"9.72";"9.495";"9.625";"05/01/2018 17:35";"CET";"249693";"2403493.815"
"ALTRAN TECHN.";"FR0000034639";"ALT";"Euronext Paris";"EUR";"14.60";"14.63";"14.43";"14.56";"05/01/2018 17:35";"CET";"482150";"7009236.86"
"ALTRI SGPS";"PTALT0AE0002";"ALTR";"Euronext Lisbon";"EUR";"5.37";"5.40";"5.27";"5.28";"05/01/2018 22:36";"BST";"171308";"911271.34"
"ALTUR INVEST.";"FR0010395681";"ALTUR";"Euronext Paris";"EUR";"6.10";"6.10";"6.02";"6.02";"05/01/2018 10:07";"CET";"1208";"7360.80"
"ALUMEXX N.V.";"NL0012194724";"ALX";"Euronext Amsterdam";"EUR";"1.79";"1.80";"1.75";"1.79";"05/01/2018 17:35";"CET";"8039";"14300.80"
"ALVEEN";"FR0013253812";"MLALV";"Euronext Access Paris";"EUR";"1.3174";"1.3174";"1.3174";"1.3174";"03/01/2018 11:30";"CET";"80";"105.40"
"AMATHEON AGRI";"NL0010273694";"MLAAH";"Euronext Access Paris";"EUR";"0.424";"0.424";"0.424";"0.424";"05/01/2018 11:30";"CET";"1";"0.424"
"AMG";"NL0000888691";"AMG";"Euronext Amsterdam";"EUR";"43.54";"43.62";"43.12";"43.18";"05/01/2018 17:35";"CET";"112644";"4876312.76"
"AMOEBA";"FR0011051598";"AMEBA";"Euronext Paris";"EUR";"15.84";"16.80";"15.84";"16.60";"05/01/2018 17:15";"CET";"10146";"166310.16"
"AMPLITUDE SURGICAL";"FR0012789667";"AMPLI";"Euronext Paris";"EUR";"3.89";"4.05";"3.87";"3.97";"05/01/2018 17:24";"CET";"26634";"105978.60"
"AMSTERDAM COMMOD.";"NL0000313286";"ACOMO";"Euronext Amsterdam";"EUR";"24.45";"24.50";"24.40";"24.50";"05/01/2018 17:35";"CET";"21554";"527663.25"
"AMUNDI";"FR0004125920";"AMUN";"Euronext Paris";"EUR";"72.34";"72.90";"72.00";"72.46";"05/01/2018 17:35";"CET";"160590";"11639848.32"
"AND INTERNATIONAL";"NL0000430106";"AND";"Euronext Amsterdam";"EUR";"6.80";"6.96";"6.70";"6.90";"05/01/2018 17:25";"CET";"7162";"48808.00"
"ANEVIA";"FR0011910652";"ALANV";"Euronext Growth Paris";"EUR";"3.20";"3.35";"3.11";"3.35";"05/01/2018 17:35";"CET";"3729";"12114.74"
"ANEVIA BS";"FR0013268091";"ANVBS";"Euronext Growth Paris";"EUR";"0.021";"0.021";"0.021";"0.021";"04/01/2018 11:18";"CET";"66";"1.39"
"ANF IMMOBILIER";"FR0000063091";"ANF";"Euronext Paris";"EUR";"23.45";"23.55";"23.25";"23.50";"05/01/2018 17:35";"CET";"8340";"195682.55"
"ANTALIS INTERNATIO";"FR0013258589";"ANTA";"Euronext Paris";"EUR";"2.00";"2.01";"1.97";"1.982";"05/01/2018 17:35";"CET";"26835";"53570.004"
"ANTARES CERT";"BE0003676872";"ANT";"Euronext Brussels";"EUR";"50.00";"50.00";"50.00";"50.00";"28/12/2017 11:36";"CET";"619";"30950.00"
"ANTEVENIO";"ES0109429037";"ALANT";"Euronext Growth Paris";"EUR";"8.06";"8.06";"7.76";"7.90";"05/01/2018 17:23";"CET";"2905";"22814.98"
"AP ALTERNAT ASSETS";"GB00B15Y0C52";"AAA";"Euronext Amsterdam";"USD";"15.07";"15.10";"15.01";"15.10";"05/01/2018 17:35";"CET";"30315";"457480.20"
"APERAM";"LU0569974404";"APAM";"Euronext Amsterdam, Brussels, Paris";"EUR";"45.23";"45.65";"45.08";"45.60";"05/01/2018 17:35";"CET";"274741";"12496089.87"
"APRIL";"FR0004037125";"APR";"Euronext Paris";"EUR";"15.05";"15.15";"15.05";"15.10";"05/01/2018 17:35";"CET";"4250";"64083.60"
"APRIL GROUP NV18";"FR0013306172";"APRNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"AQUILA";"FR0010340711";"ALAQU";"Euronext Growth Paris";"EUR";"6.75";"6.80";"6.75";"6.80";"05/01/2018 16:30";"CET";"1933";"13115.00"
"ARCADIS";"NL0006237562";"ARCAD";"Euronext Amsterdam";"EUR";"19.33";"19.36";"19.13";"19.30";"05/01/2018 17:35";"CET";"110416";"2130184.89"
"ARCELORMITTAL SA";"LU1598757687";"MT";"Euronext Amsterdam, Paris";"EUR";"28.57";"28.655";"28.325";"28.415";"05/01/2018 17:35";"CET";"5593861";"159095419.335"
"ARCHOS";"FR0000182479";"JXR";"Euronext Paris";"EUR";"0.70";"0.76";"0.697";"0.736";"05/01/2018 17:35";"CET";"1398874";"1031334.769"
"ARCHOS BSAR 2018";"FR0013279692";"JXRBS";"Euronext Growth Paris";"EUR";"0.0144";"0.02";"0.0144";"0.0188";"05/01/2018 17:26";"CET";"1900896";"34229.5934"
"ARDOIN ST AMAND A";"FR0005057635";"MLARD";"Euronext Access Paris";"EUR";"65.01";"65.01";"65.01";"65.01";"21/12/2017 11:30";"CET";"1";"65.01"
"ARDOIN ST AMAND B";"FR0004070795";"ARDO";"Euronext Access Paris";"EUR";"80.00";"80.00";"80.00";"80.00";"07/09/2016 15:30";"CET";"4";"320.00"
"ARGAN";"FR0010481960";"ARG";"Euronext Paris";"EUR";"40.40";"41.00";"40.30";"40.60";"05/01/2018 17:35";"CET";"997";"40483.60"
"ARGENX SE";"NL0010832176";"ARGX";"Euronext Brussels";"EUR";"48.90";"51.50";"48.80";"48.80";"05/01/2018 17:39";"CET";"41805";"2087430.65"
"ARKEMA";"FR0010313833";"AKE";"Euronext Paris";"EUR";"103.80";"105.05";"103.75";"104.35";"05/01/2018 17:46";"CET";"200059";"20878680.10"
"ARKEMA NV18";"FR0013308863";"AKENV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ARTEA";"FR0012185536";"ARTE";"Euronext Paris";"EUR";"8.57";"8.57";"8.57";"8.57";"13/12/2017 16:30";"CET";"59";"505.63"
"ARTHUR MAURY";"FR0013268067";"MLAMY";"Euronext Access Paris";"EUR";"3.40";"3.40";"3.40";"3.40";"29/12/2017 14:43";"CET";"9100";"30940.00"
"ARTOIS NOM.";"FR0000076952";"ARTO";"Euronext Paris";"EUR";"6750.00";"6750.00";"6750.00";"6750.00";"05/01/2018 11:30";"CET";"1";"6750.00"
"ARTPRICE COM";"FR0000074783";"PRC";"Euronext Paris";"EUR";"17.46";"17.68";"17.16";"17.26";"05/01/2018 17:35";"CET";"9500";"164654.68"
"ARTSNET";"FR0010923433";"MLART";"Euronext Access Paris";"EUR";"0.27";"0.27";"0.25";"0.25";"12/07/2017 16:30";"CET";"8";"2.02"
"ASCENCIO";"BE0003856730";"ASC";"Euronext Brussels";"EUR";"56.60";"57.20";"56.00";"56.20";"05/01/2018 17:35";"CET";"4965";"279827.60"
"ASHLER ET MANSON";"FR0012968485";"MLAEM";"Euronext Access Paris";"EUR";"1.48";"1.48";"1.48";"1.48";"25/10/2017 16:30";"CET";"83";"122.84"
"ASIT";"BE0974289218";"ASIT";"Euronext Brussels, Paris";"EUR";"3.74";"3.80";"3.72";"3.80";"05/01/2018 17:07";"CET";"11722";"44304.26"
"ASM INTERNATIONAL";"NL0000334118";"ASM";"Euronext Amsterdam";"EUR";"58.34";"58.98";"57.78";"58.92";"05/01/2018 17:35";"CET";"181209";"10617632.90"
"ASML HOLDING";"NL0010273215";"ASML";"Euronext Amsterdam";"EUR";"150.00";"151.85";"149.65";"151.85";"05/01/2018 17:39";"CET";"1087996";"164233944.00"
"ASR NEDERLAND";"NL0011872643";"ASRNL";"Euronext Amsterdam";"EUR";"33.84";"34.06";"33.68";"33.80";"05/01/2018 17:35";"CET";"665866";"22539215.32"
"ASSICURAZ.GEN.ORD.";"IT0000062072";"GEN";"Traded not listed Brussels";"EUR";"14.995";"14.995";"14.995";"14.995";"05/01/2018 12:08";"CET";"200";"2999.00"
"ASSIMA";"GB00B19RTX44";"ALSIM";"Euronext Growth Paris";"EUR";"3.40";"3.40";"3.40";"3.40";"16/10/2017 16:30";"CET";"20";"68.00"
"ASSYSTEM";"FR0000074148";"ASY";"Euronext Paris";"EUR";"30.35";"30.60";"30.35";"30.50";"05/01/2018 17:35";"CET";"6981";"213007.30"
"ASTELLIA";"FR0004176535";"ALAST";"Euronext Growth Paris";"EUR";"9.92";"9.94";"9.92";"9.94";"05/01/2018 11:53";"CET";"13814";"137213.16"
"ATARI";"FR0010478248";"ATA";"Euronext Paris";"EUR";"0.463";"0.48";"0.46";"0.466";"05/01/2018 17:35";"CET";"4498971";"2118846.862"
"ATEME";"FR0011992700";"ATEME";"Euronext Paris";"EUR";"16.94";"17.10";"16.92";"17.02";"05/01/2018 17:35";"CET";"26403";"449825.56"
"ATENOR";"BE0003837540";"ATEB";"Euronext Brussels";"EUR";"49.50";"49.50";"48.90";"49.40";"05/01/2018 17:35";"CET";"1868";"92191.60"
"ATOS";"FR0000051732";"ATO";"Euronext Paris";"EUR";"125.70";"127.05";"125.55";"127.05";"05/01/2018 17:36";"CET";"270482";"34246551.70"
"ATOS NV18";"FR0013306180";"ATONV";"Euronext Paris";"EUR";"124.00";"124.60";"124.00";"124.60";"05/01/2018 16:30";"CET";"259";"32152.00"
"ATRIUM EUR REALEST";"JE00B3DCF752";"ATRS";"Euronext Amsterdam";"EUR";"4.36";"4.42";"4.35";"4.42";"05/01/2018 15:36";"CET";"12304";"54083.30"
"AUBAY";"FR0000063737";"AUB";"Euronext Paris";"EUR";"34.30";"34.30";"33.65";"33.75";"05/01/2018 17:35";"CET";"7356";"250108.25"
"AUDIENCE LABS";"FR0011896463";"MLAUD";"Euronext Access Paris";"EUR";"7.78";"7.78";"7.78";"7.78";"26/05/2017 15:00";"CET";"7";"54.46"
"AUFEMININ";"FR0004042083";"FEM";"Euronext Paris";"EUR";"38.50";"38.60";"38.50";"38.50";"05/01/2018 17:27";"CET";"860";"33111.60"
"AUGROS COSMETICS";"FR0000061780";"AUGR";"Euronext Paris";"EUR";"3.74";"3.74";"3.74";"3.74";"04/01/2018 16:30";"CET";"100";"374.00"
"AUPLATA";"FR0010397760";"ALAUP";"Euronext Growth Paris";"EUR";"0.153";"0.1552";"0.148";"0.154";"05/01/2018 17:35";"CET";"1771346";"269131.672"
"AUREA";"FR0000039232";"AURE";"Euronext Paris";"EUR";"8.46";"8.50";"8.40";"8.42";"05/01/2018 17:35";"CET";"3153";"26550.54"
"AURES TECHNOLOGIES";"FR0013183589";"AURS";"Euronext Paris";"EUR";"35.60";"35.65";"35.35";"35.50";"05/01/2018 17:29";"CET";"1167";"41472.60"
"AVANTIUM";"NL0012047823";"AVTX";"Euronext Amsterdam, Brussels";"EUR";"9.40";"9.50";"9.30";"9.39";"05/01/2018 17:35";"CET";"17630";"165785.77"
"AVENIR TELECOM";"FR0000066052";"AVT";"Euronext Paris";"EUR";"0.235";"0.30";"0.235";"0.30";"05/01/2018 17:35";"CET";"5664875";"1552303.50"
"AVIATION LATECOERE";"FR0000032278";"LAT";"Euronext Paris";"EUR";"5.95";"5.97";"5.82";"5.90";"05/01/2018 17:38";"CET";"238985";"1416360.81"
"AWOX";"FR0011800218";"AWOX";"Euronext Paris";"EUR";"2.42";"2.45";"2.39";"2.39";"05/01/2018 17:35";"CET";"7986";"19337.74"
"AXA";"FR0000120628";"CS";"Euronext Paris";"EUR";"25.35";"25.545";"25.31";"25.505";"05/01/2018 17:37";"CET";"4387081";"111766107.64"
"AXA NV18";"FR0013301256";"CSNV";"Euronext Paris";"EUR";"24.095";"24.12";"24.095";"24.12";"05/01/2018 16:30";"CET";"3489";"84075.68"
"AXWAY SOFTWARE";"FR0011040500";"AXW";"Euronext Paris";"EUR";"22.40";"22.55";"22.05";"22.50";"05/01/2018 17:35";"CET";"13305";"297286.10"
"AZ LEASING";"IT0004812258";"MLAZL";"Euronext Access Paris";"EUR";"0.90";"0.90";"0.90";"0.90";"16/11/2017 16:30";"CET";"57";"51.30"
"AZOREAN TECH";"PTAZR0AM0006";"MLAAT";"Euronext Access Paris";"EUR";"0.19";"0.19";"0.19";"0.19";"02/01/2018 11:30";"CET";"5000";"950.00"
"B.COM.PORTUGUES";"PTBCP0AM0015";"BCP";"Euronext Lisbon";"EUR";"0.2997";"0.3015";"0.294";"0.2977";"05/01/2018 22:38";"BST";"89790720";"26774184.0523"
"BACCARAT";"FR0000064123";"BCRA";"Euronext Paris";"EUR";"216.00";"216.00";"216.00";"216.00";"05/01/2018 16:30";"CET";"177";"38232.00"
"BAINS MER MONACO";"MC0000031187";"BAIN";"Euronext Paris";"EUR";"58.00";"58.00";"56.80";"58.00";"05/01/2018 16:53";"CET";"4267";"245873.20"
"BALTA GROUP";"BE0974314461";"BALTA";"Euronext Brussels";"EUR";"9.05";"9.32";"9.00";"9.10";"05/01/2018 17:39";"CET";"38590";"352715.23"
"BALYO";"FR0013258399";"BALYO";"Euronext Paris";"EUR";"6.30";"6.34";"6.25";"6.29";"05/01/2018 17:35";"CET";"41347";"260513.63"
"BAM GROEP KON";"NL0000337319";"BAMNB";"Euronext Amsterdam";"EUR";"3.995";"4.046";"3.964";"3.972";"05/01/2018 17:35";"CET";"3710336";"14867133.04"
"BANCO BILBAO VIZC.";"ES0113211835";"BBV";"Traded not listed Brussels";"EUR";"6.87";"6.87";"6.87";"6.87";"01/12/2017 16:19";"CET";"573";"3936.51"
"BANCO BPI";"PTBPI0AM0004";"BPI";"Euronext Lisbon";"EUR";"1.244";"1.26";"1.22";"1.24";"05/01/2018 22:35";"BST";"220639";"275092.33"
"BANCO SANTANDER";"ES0113900J37";"SANT";"Euronext Lisbon";"EUR";"5.64";"5.72";"5.64";"5.66";"05/01/2018 22:35";"BST";"59072";"335280.451"
"BANCO SANTANDER";"ES0113900J37";"SANTA";"Traded not listed Brussels";"EUR";"5.733";"5.733";"5.402";"5.402";"05/01/2018 12:41";"CET";"999";"5461.158"
"BANIMMO A";"BE0003870871";"BANI";"Euronext Brussels";"EUR";"3.13";"3.19";"3.13";"3.15";"05/01/2018 17:35";"CET";"19245";"61034.88"
"BARBARA BUI";"FR0000062788";"BUI";"Euronext Paris";"EUR";"6.80";"6.80";"6.80";"6.80";"04/01/2018 16:30";"CET";"198";"1346.40"
"BARCO";"BE0003790079";"BAR";"Euronext Brussels";"EUR";"92.10";"94.00";"91.50";"93.60";"05/01/2018 17:35";"CET";"14856";"1383855.60"
"BASIC-FIT";"NL0011872650";"BFIT";"Euronext Amsterdam";"EUR";"20.90";"21.50";"20.60";"21.35";"05/01/2018 17:35";"CET";"38419";"810008.30"
"BASILIX CERT";"BE0003674851";"BAS";"Euronext Brussels";"EUR";"16.95";"16.95";"16.95";"16.95";"04/01/2018 11:30";"CET";"58";"983.10"
